entry_time,exit_time,signal,signal_type,entry_price,exit_price,result,exit_reason,r_multiple,pnl,balance
2025-06-23 20:00:00+00:00,2025-06-24 08:00:00+00:00,SELL,SELL_REVERSAL,3382.44,3327.57,win,TP2,3.0,300.0,10300.0
2025-06-25 12:00:00+00:00,2025-06-25 18:00:00+00:00,SELL,SELL_TREND,3325.31,3325.31,win,TRAIL_EXIT,0.0,51.5,10351.5
2025-06-30 11:00:00+00:00,2025-06-30 18:00:00+00:00,SELL,SELL_REVERSAL,3289.18,3289.18,win,TRAIL_EXIT,0.0,51.76,10403.26
2025-07-02 19:00:00+00:00,2025-07-03 03:00:00+00:00,BUY,BUY_TREND,3348.69,3348.69,win,TRAIL_EXIT,0.0,52.02,10455.27
2025-07-09 20:00:00+00:00,2025-07-10 09:00:00+00:00,SELL,SELL_REVERSAL,3309.51,3322.63,loss,SL_PHASE1,-1.0,-104.55,10350.72
2025-07-14 09:00:00+00:00,2025-07-14 11:00:00+00:00,BUY,BUY_TREND,3368.91,3368.91,win,TRAIL_EXIT,0.0,51.75,10402.47
2025-07-22 11:00:00+00:00,2025-07-22 16:00:00+00:00,BUY,BUY_TREND,3388.98,3413.29,win,TP2,3.0,312.07,10714.55
2025-07-24 16:00:00+00:00,2025-07-25 05:00:00+00:00,BUY,BUY_REVERSAL,3366.66,3366.66,win,TRAIL_EXIT,0.0,53.57,10768.12
2025-07-28 10:00:00+00:00,2025-07-29 17:00:00+00:00,SELL,SELL_TREND,3334.97,3328.28,win,TRAIL_EXIT,0.6,53.84,10821.96
2025-07-30 15:00:00+00:00,2025-07-30 21:00:00+00:00,SELL,SELL_TREND,3313.35,3281.34,win,TP2,3.0,324.66,11146.62
2025-08-01 10:00:00+00:00,2025-08-01 13:00:00+00:00,SELL,SELL_TREND,3286.72,3296.95,loss,SL_PHASE1,-1.0,-111.47,11035.15
2025-08-04 14:00:00+00:00,2025-08-05 09:00:00+00:00,BUY,BUY_TREND,3370.3,3370.3,win,TRAIL_EXIT,0.0,55.18,11090.33
2025-08-07 09:00:00+00:00,2025-08-07 11:00:00+00:00,BUY,BUY_TREND,3387.72,3387.72,win,TRAIL_EXIT,0.0,55.45,11145.78
2025-08-07 15:00:00+00:00,2025-08-11 04:00:00+00:00,BUY,BUY_TREND,3380.79,3380.79,win,TRAIL_EXIT,0.0,55.73,11201.51
2025-08-13 08:00:00+00:00,2025-08-13 11:00:00+00:00,SELL,SELL_TREND,3349.23,3359.0,loss,SL_PHASE1,-1.0,-112.02,11089.5
2025-08-14 16:00:00+00:00,2025-08-15 07:00:00+00:00,SELL,SELL_TREND,3344.12,3344.12,win,TRAIL_EXIT,0.0,55.45,11144.94
2025-08-15 09:00:00+00:00,2025-08-15 17:00:00+00:00,SELL,SELL_REVERSAL,3340.37,3340.37,win,TRAIL_EXIT,0.0,55.72,11200.67
2025-08-19 08:00:00+00:00,2025-08-19 13:00:00+00:00,SELL,SELL_TREND,3336.15,3343.24,loss,SL_PHASE1,-1.0,-112.01,11088.66
2025-08-20 18:00:00+00:00,2025-08-21 15:00:00+00:00,SELL,SELL_REVERSAL,3340.68,3340.68,win,TRAIL_EXIT,0.0,55.44,11144.1
