entry_time,exit_time,signal,signal_type,entry_price,exit_price,result,exit_reason,r_multiple,pnl,balance
2022-12-08 07:00:00+00:00,2022-12-09 15:00:00+00:00,BUY,BUY_TREND,1784.44,1802.11,win,TP2,3.0,300.0,10300.0
2022-12-12 08:00:00+00:00,2022-12-12 15:00:00+00:00,BUY,BUY_REVERSAL,1788.67,1788.67,win,TRAIL_EXIT,0.0,51.5,10351.5
2022-12-14 08:00:00+00:00,2022-12-14 14:00:00+00:00,BUY,BUY_TREND,1811.49,1806.13,loss,SL_PHASE1,-1.0,-103.52,10247.99
2022-12-14 16:00:00+00:00,2022-12-14 19:00:00+00:00,BUY,BUY_TREND,1810.33,1810.33,win,TRAIL_EXIT,0.0,51.24,10299.22
2022-12-15 07:00:00+00:00,2022-12-15 10:00:00+00:00,BUY,BUY_REVERSAL,1792.87,1785.61,loss,SL_PHASE1,-1.0,-102.99,10196.23
2022-12-16 19:00:00+00:00,2022-12-19 10:00:00+00:00,SELL,SELL_REVERSAL,1787.55,1794.89,loss,SL_PHASE1,-1.0,-101.96,10094.27
2022-12-20 09:00:00+00:00,2022-12-20 13:00:00+00:00,BUY,BUY_TREND,1794.12,1809.09,win,TP2,3.0,302.83,10397.1
2022-12-21 09:00:00+00:00,2022-12-21 21:00:00+00:00,BUY,BUY_TREND,1816.32,1816.32,win,TRAIL_EXIT,0.0,51.99,10449.08
2022-12-22 14:00:00+00:00,2022-12-22 15:00:00+00:00,BUY,BUY_TREND,1818.08,1813.62,loss,SL_PHASE1,-1.0,-104.49,10344.59
2022-12-29 15:00:00+00:00,2022-12-30 16:00:00+00:00,BUY,BUY_TREND,1810.31,1824.84,win,TP2,3.0,310.34,10654.93
2022-12-30 19:00:00+00:00,2023-01-03 08:00:00+00:00,BUY,BUY_TREND,1823.83,1843.29,win,TP2,3.0,319.65,10974.58
2023-01-03 15:00:00+00:00,2023-01-03 17:00:00+00:00,BUY,BUY_TREND,1838.85,1838.85,win,TRAIL_EXIT,0.0,54.87,11029.45
2023-01-09 15:00:00+00:00,2023-01-09 17:00:00+00:00,BUY,BUY_TREND,1878.23,1878.23,win,TRAIL_EXIT,0.0,55.15,11084.6
