entry_time,exit_time,signal,signal_type,entry_price,exit_price,result,exit_reason,r_multiple,pnl,balance
2026-04-06 07:26:00+00:00,2026-04-06 07:30:00+00:00,BUY,BUY_TREND,4644.17,4644.17,win,TRAIL_EXIT,0.0,50.0,10050.0
2026-04-06 07:47:00+00:00,2026-04-06 07:57:00+00:00,BUY,BUY_TREND,4649.54,4657.35,win,TP2,3.0,301.5,10351.5
2026-04-06 08:15:00+00:00,2026-04-06 08:21:00+00:00,BUY,BUY_TREND,4675.13,4675.13,win,TRAIL_EXIT,0.0,51.76,10403.26
2026-04-06 08:31:00+00:00,2026-04-06 08:40:00+00:00,BUY,BUY_REVERSAL,4667.75,4663.48,loss,SL_PHASE1,-1.0,-104.03,10299.22
2026-04-06 08:53:00+00:00,2026-04-06 08:55:00+00:00,BUY,BUY_REENTRY,4664.82,4664.82,win,TRAIL_EXIT,0.0,51.5,10350.72
2026-04-06 11:12:00+00:00,2026-04-06 11:18:00+00:00,BUY,BUY_TREND,4688.36,4688.36,win,TRAIL_EXIT,0.0,51.75,10402.47
2026-04-06 11:23:00+00:00,2026-04-06 12:00:00+00:00,BUY,BUY_TREND,4689.64,4702.1,win,TP2,3.0,312.07,10714.55
2026-04-06 12:14:00+00:00,2026-04-06 12:17:00+00:00,BUY,BUY_TREND,4701.71,4701.71,win,TRAIL_EXIT,0.0,53.57,10768.12
2026-04-06 12:24:00+00:00,2026-04-06 12:47:00+00:00,BUY,BUY_TREND,4701.98,4701.98,win,TRAIL_EXIT,0.0,53.84,10821.96
2026-04-06 13:45:00+00:00,2026-04-06 14:02:00+00:00,SELL,SELL_REVERSAL,4694.26,4694.26,win,TRAIL_EXIT,0.0,54.11,10876.07
2026-04-06 14:56:00+00:00,2026-04-06 15:00:00+00:00,SELL,SELL_TREND,4680.34,4680.34,win,TRAIL_EXIT,0.0,54.38,10930.45
2026-04-06 15:21:00+00:00,2026-04-06 15:27:00+00:00,SELL,SELL_TREND,4664.35,4664.35,win,TRAIL_EXIT,0.0,54.65,10985.1
2026-04-06 16:03:00+00:00,2026-04-06 16:05:00+00:00,SELL,SELL_TREND,4673.66,4663.71,win,TP2,3.0,329.55,11314.66
2026-04-06 16:32:00+00:00,2026-04-06 16:34:00+00:00,SELL,SELL_TREND,4663.96,4670.99,loss,SL_PHASE1,-1.0,-113.15,11201.51
2026-04-06 16:43:00+00:00,2026-04-06 16:52:00+00:00,SELL,SELL_REVERSAL,4671.87,4671.87,win,TRAIL_EXIT,0.0,56.01,11257.52
2026-04-06 17:20:00+00:00,2026-04-06 17:26:00+00:00,SELL,SELL_REVERSAL,4679.08,4686.47,loss,SL_PHASE1,-1.0,-112.58,11144.94
2026-04-06 17:35:00+00:00,2026-04-06 17:38:00+00:00,BUY,BUY_TREND,4693.17,4687.41,loss,SL_PHASE1,-1.0,-111.45,11033.49
