,signal,entry_time,exit_time,entry_price,exit_price,sl,tp,lot_size,result,pnl,balance_after
169,SELL,2025-11-04 13:00:00,2025-11-04 16:00:00,3992.04,3952.12,4012.0,3952.12,0.13,win,535.47,27354.31
170,SELL,2025-11-06 13:00:00,2025-11-06 19:00:00,4015.2,3975.05,4035.28,3975.05,0.14,win,546.11,27900.42
171,SELL,2025-11-06 15:00:00,2025-11-06 19:00:00,4009.14,3969.05,4029.19,3969.05,0.14,win,557.03,28457.45
172,BUY,2025-11-11 09:00:00,2025-11-24 01:00:00,4132.58,4075.09,3990.93,4415.88,0.02,loss,-115.12,28342.33
173,BUY,2025-11-12 07:00:00,2025-11-24 22:00:00,4107.65,4132.65,3990.93,4341.09,0.02,win,49.86,28392.19
174,BUY,2025-11-12 09:00:00,2025-11-25 01:00:00,4120.03,4143.81,3990.93,4378.23,0.02,win,47.42,28439.61
175,BUY,2025-11-12 15:00:00,2025-11-25 07:00:00,4130.09,4150.99,3990.93,4408.41,0.02,win,41.66,28481.27
176,BUY,2025-11-13 08:00:00,2025-11-25 23:00:00,4213.43,4130.79,3990.93,4658.43,0.01,loss,-82.71,28398.56
177,SELL,2025-11-19 14:00:00,2025-11-19 17:00:00,4111.57,4132.13,4132.13,4070.45,0.14,loss,-284.97,28113.59
178,SELL,2025-11-19 16:00:00,2025-11-19 18:00:00,4124.95,4083.7,4145.57,4083.7,0.14,win,561.29,28674.88
179,SELL,2025-11-21 07:00:00,2025-11-21 15:00:00,4055.53,4075.81,4075.81,4014.97,0.14,loss,-287.73,28387.15
180,BUY,2025-11-25 14:00:00,2025-12-01 02:00:00,4132.8,4232.32,4083.04,4232.32,0.06,win,567.32,28954.47
181,BUY,2025-11-27 07:00:00,2025-11-28 02:00:00,4150.09,4176.09,4137.09,4176.09,0.22,win,577.55,29532.02
182,BUY,2025-12-11 13:00:00,2025-12-11 18:00:00,4214.28,4273.76,4184.54,4273.76,0.1,win,589.94,30121.96
183,BUY,2025-12-12 14:00:00,2025-12-26 09:00:00,4328.85,4510.95,4184.54,4617.47,0.02,win,364.06,30486.02
184,BUY,2025-12-15 09:00:00,2025-12-29 04:00:00,4342.24,4512.43,4184.54,4657.64,0.02,win,340.24,30826.26
185,BUY,2025-12-18 14:00:00,2026-01-02 09:00:00,4323.85,4382.81,4184.54,4602.47,0.02,win,117.78,30944.04
186,BUY,2025-12-26 09:00:00,2026-01-09 01:00:00,4513.95,4475.58,4184.54,5172.77,0.01,loss,-38.44,30905.6
187,BUY,2025-12-26 14:00:00,2026-01-09 06:00:00,4511.63,4464.7,4184.54,5165.81,0.01,loss,-47.0,30858.6
188,SELL,2025-12-31 09:00:00,2025-12-31 16:00:00,4328.15,4349.79,4349.79,4284.87,0.14,loss,-309.57,30549.03
189,SELL,2026-01-02 14:00:00,2026-01-02 17:00:00,4391.38,4347.47,4413.34,4347.47,0.14,win,610.0,31159.03
190,BUY,2026-01-07 08:00:00,2026-01-20 02:00:00,4447.19,4660.47,4184.54,4972.49,0.01,win,213.21,31372.24
191,BUY,2026-01-08 07:00:00,2026-01-21 01:00:00,4428.56,4775.84,4184.54,4916.6,0.01,win,347.21,31719.45
192,SELL,2026-01-09 13:00:00,2026-01-09 16:00:00,4472.4,4494.76,4494.76,4427.68,0.14,loss,-318.17,31401.28
193,BUY,2026-01-12 08:00:00,2026-01-23 02:00:00,4581.52,4965.11,4184.54,5375.48,0.01,win,383.52,31784.8
194,BUY,2026-01-13 09:00:00,2026-01-26 03:00:00,4583.68,5070.89,4184.54,5381.96,0.01,win,487.14,32271.94
195,BUY,2026-01-14 13:00:00,2026-01-27 07:00:00,4633.3,5083.0,4184.54,5530.82,0.01,win,449.63,32721.57
196,BUY,2026-01-19 13:00:00,2026-01-30 07:00:00,4663.69,5184.87,4184.54,5621.99,0.01,win,521.11,33242.68
197,BUY,2026-01-20 14:00:00,2026-02-02 06:00:00,4730.58,4679.77,4184.54,5822.66,0.01,loss,-50.88,33191.8
198,BUY,2026-01-21 14:00:00,2026-02-03 06:00:00,4868.12,4809.16,4184.54,6235.28,0.01,loss,-59.03,33132.77
199,BUY,2026-01-23 13:00:00,2026-02-05 05:00:00,4925.8,4880.59,4184.54,6408.32,0.01,loss,-45.28,33087.49
200,BUY,2026-01-26 15:00:00,2026-02-06 07:00:00,5071.42,4897.82,4184.54,6845.18,0.01,loss,-173.67,32913.82
