entry_time,exit_time,signal,signal_type,entry_price,exit_price,result,exit_reason,r_multiple,pnl,balance
2026-01-02 12:10:00+00:00,2026-01-02 14:40:00+00:00,BUY,BUY_TREND,4388.15,4389.04,win,TRAIL_EXIT,0.2,50.0,10050.0
2026-01-02 18:00:00+00:00,2026-01-02 19:00:00+00:00,SELL,SELL_TREND,4327.59,4327.59,win,TRAIL_EXIT,0.0,50.25,10100.25
2026-01-02 19:20:00+00:00,2026-01-02 22:20:00+00:00,SELL,SELL_TREND,4326.09,4326.09,win,TRAIL_EXIT,0.0,50.5,10150.75
2026-01-05 07:10:00+00:00,2026-01-05 07:40:00+00:00,BUY,BUY_TREND,4408.07,4408.07,win,TRAIL_EXIT,0.0,50.75,10201.51
2026-01-05 07:55:00+00:00,2026-01-05 10:45:00+00:00,BUY,BUY_TREND,4412.39,4431.23,win,TP2,3.0,306.05,10507.55
2026-01-05 11:15:00+00:00,2026-01-05 13:05:00+00:00,BUY,BUY_TREND,4431.65,4431.65,win,TRAIL_EXIT,0.0,52.54,10560.09
2026-01-05 16:20:00+00:00,2026-01-05 16:45:00+00:00,SELL,SELL_REVERSAL,4421.99,4431.29,loss,SL_PHASE1,-1.0,-105.6,10454.49
2026-01-05 17:50:00+00:00,2026-01-05 18:05:00+00:00,BUY,BUY_TREND,4444.88,4444.88,win,TRAIL_EXIT,0.0,52.27,10506.76
2026-01-05 18:45:00+00:00,2026-01-05 18:55:00+00:00,BUY,BUY_TREND,4450.89,4442.32,loss,SL_PHASE1,-1.0,-105.07,10401.69
2026-01-05 19:15:00+00:00,2026-01-06 01:25:00+00:00,BUY,BUY_TREND,4445.3,4449.77,win,TRAIL_EXIT,0.5,52.01,10453.7
2026-01-06 07:25:00+00:00,2026-01-06 07:35:00+00:00,BUY,BUY_TREND,4469.72,4469.72,win,TRAIL_EXIT,0.0,52.27,10505.97
2026-01-06 14:50:00+00:00,2026-01-06 15:20:00+00:00,BUY,BUY_TREND,4462.58,4462.58,win,TRAIL_EXIT,0.0,52.53,10558.5
2026-01-06 15:50:00+00:00,2026-01-06 16:55:00+00:00,BUY,BUY_TREND,4465.05,4488.24,win,TP2,3.0,316.75,10875.25
2026-01-06 18:15:00+00:00,2026-01-06 21:25:00+00:00,BUY,BUY_TREND,4480.0,4481.03,win,TRAIL_EXIT,0.1,54.38,10929.63
2026-01-07 07:30:00+00:00,2026-01-07 07:55:00+00:00,SELL,SELL_TREND,4453.79,4453.79,win,TRAIL_EXIT,0.0,54.65,10984.28
2026-01-07 13:05:00+00:00,2026-01-07 13:45:00+00:00,SELL,SELL_REENTRY,4462.34,4449.33,win,TP2,3.0,329.53,11313.81
2026-01-07 20:50:00+00:00,2026-01-07 21:30:00+00:00,SELL,SELL_REENTRY,4452.46,4452.46,win,TRAIL_EXIT,0.0,56.57,11370.38
2026-01-08 10:10:00+00:00,2026-01-08 10:50:00+00:00,SELL,SELL_TREND,4425.8,4425.8,win,TRAIL_EXIT,0.0,56.85,11427.23
2026-01-08 13:35:00+00:00,2026-01-08 14:00:00+00:00,BUY,BUY_REVERSAL,4427.21,4422.47,loss,SL_PHASE1,-1.0,-114.27,11312.96
2026-01-08 18:25:00+00:00,2026-01-08 20:15:00+00:00,BUY,BUY_TREND,4453.67,4453.67,win,TRAIL_EXIT,0.0,56.56,11369.52
2026-01-09 08:00:00+00:00,2026-01-09 09:30:00+00:00,BUY,BUY_TREND,4470.31,4470.31,win,TRAIL_EXIT,0.0,56.85,11426.37
2026-01-09 12:05:00+00:00,2026-01-09 12:25:00+00:00,BUY,BUY_TREND,4473.84,4469.91,loss,SL_PHASE1,-1.0,-114.26,11312.1
2026-01-09 13:45:00+00:00,2026-01-09 14:20:00+00:00,BUY,BUY_TREND,4472.34,4472.34,win,TRAIL_EXIT,0.0,56.56,11368.66
2026-01-09 20:45:00+00:00,2026-01-09 21:20:00+00:00,SELL,SELL_REVERSAL,4498.6,4498.6,win,TRAIL_EXIT,0.0,56.84,11425.51
2026-01-12 08:00:00+00:00,2026-01-12 08:50:00+00:00,SELL,SELL_REVERSAL,4577.28,4577.28,win,TRAIL_EXIT,0.0,57.13,11482.64
2026-01-12 09:45:00+00:00,2026-01-12 10:05:00+00:00,BUY,BUY_TREND,4585.13,4585.13,win,TRAIL_EXIT,0.0,57.41,11540.05
2026-01-12 12:10:00+00:00,2026-01-12 13:05:00+00:00,BUY,BUY_TREND,4592.16,4592.16,win,TRAIL_EXIT,0.0,57.7,11597.75
